question,option1,option2,option3,option4,answerIndex,explanation
"多くの植物は、発芽→＿＿→＿＿→結実（実をつける）の順に成長する。空欄にあてはまるのは？","葉を出す→花を咲かせる","つるを出す→葉を出す","茎をのばす→葉を出す","根をのばす→花を咲かせる",0,"植物は一般に、発芽後に葉を出し、次に花を咲かせて結実します。"
"発芽のとき、はじめに出る葉を何といいますか？","本葉","つる葉","子葉","芽葉",2,"発芽して最初に出る葉は子葉と呼ばれます。"
"アサガオ・ヘチマ・アブラナは、発芽のときに出る葉は何枚ですか？","1枚","2枚","3枚","4枚",1,"双子葉植物にあたるので、発芽時に2枚の子葉が出ます。"
"アサガオのなかまではないものはどれですか？","ヒルガオ","ユウガオ","ヨルガオ","サツマイモ",4,"サツマイモはヒルガオ科ですが、アサガオのなかまではありません。"
"ヘチマの特徴として正しいものはどれ？","つるが上から見て左回りに巻きつく","花はどれも実になる","実は1つの実に最大6個の種子","葉が1枚ずつ対になってつく",0,"ヘチマのつるは左巻き（反時計回り）に支柱に巻きつきます。"
"ヘチマのなかまはどれですか？","ジャガイモ","チューリップ","スイセン","ツルレイシ",3,"ツルレイシ（ゴーヤ）はヘチマと同じウリ科の植物です。"
"アブラナの種子はどの季節にまきますか？","春","夏","秋","冬",2,"アブラナは秋まき野菜として知られています。"
"アブラナのなかまでないものはどれですか？","カブ","ダイコン","カボチャ","ハクサイ",2,"カボチャはウリ科で、アブラナの仲間ではありません。"
"クヌギのなかまで、その実がドングリとよばれるものはどれですか？","アジサイ","バラ","ブナ","ツツジ",2,"ブナやクヌギ、カシなどの実がドングリと呼ばれます。"
"種子ではなく親のからだの一部からふえる植物として正しいのはどれ？","キャベツ","ジャガイモ","シイ","キュウリ",1,"ジャガイモは種イモ（茎の一部）から増える栄養生殖を行います。"
