question,option1,option2,option3,option4,answerIndex,explanation
"イネ、トウモロコシ、ツユクサなど、子葉が1枚の植物を何と言いますか？","双子葉類","単子葉類","裸子植物","被子植物",1,"子葉が1枚の植物は単子葉類に分類されます。"
"ホウセンカ、アサガオ、ヘチマなど、子葉が2枚の植物を何と言いますか？","双子葉類","単子葉類","裸子植物","被子植物",0,"子葉が2枚ある植物は双子葉類に分類されます。"
"根のおもなはたらきとして正しいものはどれですか？","二酸化炭素を吸収する","肥料と水を吸収する","光を吸収する","酸素を吸収する",1,"根は主に水や肥料（養分）を吸収し、植物を支える働きをします。"
"水などが通る道管のうち、養分が通る師管のはばがまとまったつくりを何と言いますか？","葉脈","導管","維管束","気孔",2,"維管束は道管や師管を含む組織で、水や養分を通します。"
"養分を地下のくきにたくわえる植物は次のうちどれですか？","ジャガイモ","ニンジン","タマネギ","ハス",0,"ジャガイモは地下茎に養分をたくわえて増えます。"
"葉に見られるすじのようなものを何と言いますか？","導管","葉脈","気孔","維管束",1,"葉にあるすじ状の部分は葉脈と呼ばれます。"
"植物が行う、日光のエネルギーを利用して養分を作り出すはたらきを何と言いますか？","呼吸","蒸散","光合成","吸収",2,"光合成は植物が光のエネルギーを使って養分を作る働きです。"
"光合成を行うとき、空気中から取り入れる気体は何ですか？","酸素","二酸化炭素","窒素","水蒸気",1,"光合成では二酸化炭素を取り入れ、酸素を放出します。"
"光合成が行われるのは、葉やくきにある緑色のつぶです。このつぶを何と言いますか？","細胞壁","葉緑体","気孔","維管束",1,"葉緑体は光合成を行うための緑色の細胞小器官です。"
"植物も動物も行う、養分から生活のためのエネルギーをつくり出すはたらきを何と言いますか？","光合成","呼吸","蒸散","吸収",1,"呼吸は、養分を分解して生活に必要なエネルギーを作る働きです。"
"呼吸を行うとき、空気中から取り入れる気体は何ですか？","酸素","二酸化炭素","窒素","水蒸気",0,"呼吸では酸素を使ってエネルギーを取り出し、二酸化炭素を放出します。"
"二酸化炭素がとけると白くにごる液体は次のうちどれですか？","アルコール","水酸化ナトリウム水溶液","石灰水","食塩水",2,"石灰水に二酸化炭素を吹き込むと白くにごります。"
"植物のからだから水が水じょう気になって出ていくことを何と言いますか？","呼吸","吸収","蒸散","凝結",2,"植物の葉の気孔などから水が水蒸気となって出ていくことを蒸散といいます。"
