question,option1,option2,option3,option4,answerIndex,explanation
"磁石が引きつける代表的な金属はどれですか？","鉄・ニッケル・コバルト","アルミニウム・金・銀","銅・亜鉛・鉛","チタン・プラチナ・スズ",0,"磁石に引きつけられる金属は鉄、ニッケル、コバルトです。"
"次のうち、磁石がつかないものはどれでしょうか？","紙・ガラス・ゴム・プラスチック・木","鉄・ニッケル・コバルト","鉄・アルミニウム・真ちゅう","すべてにくっつく",0,"紙、ガラス、ゴム、プラスチック、木は磁石につかない物質です。"
"方位磁針を水に浮かべたとき、北を向く方を何極といいますか？","N極","S極","A極","B極",0,"北を向く方をN極と呼びます。"
"棒磁石にN極だけ、あるいはS極だけの磁石は存在しますか？","N極だけの磁石はある","S極だけの磁石はある","N極とS極だけの磁石は両方ある","どちらも存在しない",3,"N極だけ、またはS極だけの磁石は存在しません。"
"N極同士、またはS極同士を近づけるとどうなりますか？","引き合う","反発しあう","電気が流れる","変化しない",1,"同じ極同士は反発しあいます。"
"N極とS極を近づけるとどうなりますか？","反発しあう","変化しない","引きつけあう","電流が流れる",2,"異なる極同士は引きつけ合います。"
"方位磁針のN極はいつもどちらをさしますか？","南の方向","北の方向","東の方向","西の方向",1,"N極は常に北を向きます。"
"なぜN極は北を向くのですか？","地球が大きな磁石で、北極側がS極になっているから","地球が大きな磁石で、北極側がN極になっているから","地球が丸いから","磁石が勝手に動くから",0,"北極付近がS極の性質をもつため、N極は北を向きます。"
"磁石のN極同士を向かい合わせて丸えんぴつの上に置き、手を離すとどうなりますか？","お互いに引きつけ合う","そのまま動かない","反発しあう","片方だけ動く",2,"N極同士は反発しあいます。"
"磁石のN極とS極を向かい合わせて丸えんぴつの上に置き、手を離すとどうなりますか？","反発しあう","お互いに引きつけ合う","どちらも動かない","逆方向に回転する",1,"N極とS極は引きつけ合います。"
"磁石のまわりに砂鉄をまくとどんな様子が見られますか？","砂鉄が線のように並ぶ","砂鉄がすべて一か所に集まる","砂鉄は変化しない","砂鉄が消える",0,"磁力線に沿って砂鉄が並ぶことで、磁力線の形が見えます。"
"砂鉄が多く集まる部分は磁石の力がどうなっていますか？","弱くなっている","変わらない","強くなっている","まったく働かない",2,"砂鉄が多く集まるところは磁力が強い部分です。"
"磁石のN極に小さな鉄のくぎをつけたままにしておくと、くぎはどうなりますか？","くぎがN極になり磁石の性質を帯びる","くぎは磁石の性質を失う","くぎが溶けてしまう","全く変化しない",0,"鉄の小さな磁石が一定方向にそろい、磁石の性質を帯びます。"
"鉄を磁石に近づけると、鉄の中の小さな磁石はどうなりますか？","不規則にバラバラになる","一定の向きにそろって磁力を帯びる","全く変化しない","鉄が消える",1,"鉄の内部で小さな磁石がそろい、磁力を帯びるようになります。"
"磁石にした鉄に強い衝撃や高温を加えるとどうなりますか？","磁力がさらに強くなる","変化しない","磁力が弱まったり失われたりする","鉄が消滅する",2,"小さな磁石の向きが乱れ、磁力が弱まったり失われたりします。"
"ゴム磁石を2つに切ったとき、切り口はどうなりますか？","N極だけとS極だけに分かれる","それぞれにN極とS極ができる","磁力が完全に消える","くっついたまま離れない",1,"切り口それぞれにN極とS極ができて、新たな磁石になります。"
"2本の棒磁石の極同士をくっつけると、くっつけた部分はどうなりますか？","磁力が強まる","磁力がなくなる部分ができる","火花が出る","全ての極が消える",1,"2つの極が打ち消し合い、くっつけた部分の磁力がはたらかなくなります。"
"太いくぎに紙を巻き、その上にエナメル線を巻いて電池につなぐと、くぎはどうなりますか？","ただ熱くなるだけ","くぎが磁石になり電磁石ができる","くぎが溶ける","何も変化しない",1,"電流によって磁界ができ、くぎが磁石になります。"
"電池につなぐ向きを逆にすると、電磁石の極はどうなりますか？","変化しない","N極とS極が同じになる","N極とS極が入れ替わる","磁力が完全に消える",2,"電流の向きが変わるとN極とS極は入れ替わります。"
"エナメル線の巻数を多くすると電磁石の力はどうなりますか？","弱くなる","変わらない","強くなる","負の力が働く",2,"巻数を増やすと磁界が強くなり、磁石の力も強まります。"
"電池を外すと電磁石はどうなりますか？","永久磁石になる","磁力がなくなる","燃えてしまう","N極が増える",1,"電流が流れないため磁力が失われます。"
"永久磁石とはどのような磁石ですか？","電流で一時的に磁力を発生させる磁石","時間が経つと磁力が消える磁石","初めから極が決まっていて変わらない磁石","加熱すると磁力が増す磁石",2,"永久磁石はN極とS極が最初から決まっていて変わりません。"
"電磁石は電気の強さや巻数を変えることで何を変えられますか？","磁石の形状","磁石の力の大きさ","電気料金","くぎの硬さ",1,"電気の強さや巻き数を変えることで磁力の大きさを調整できます。"
"リサイクル工場で電磁石はどのように利用されていますか？","紙くずを引きつける","アルミ缶だけを溶かす","鉄を選別して必要な時に離す","常にすべてを引きつける",2,"スチール缶とアルミ缶などを分ける際に、電磁石で鉄を吸着・解放します。"
