question,option1,option2,option3,option4,answerIndex,explanation
"昆虫の体は大きく何と何と何に分かれていますか？","頭・胸・腹","頭・胸・足","胸・腹・羽","頭・足・尻尾",0,"昆虫の体は頭・胸・腹の3つに分かれています。"
"単眼は何を感じる器官ですか？","形や色","明るさ","音の強弱","動きの方向",1,"単眼は主に明るさを感じ取ります。"
"複眼は何を感じる器官ですか？","音","におい","物の形や色","温度",2,"複眼は周囲の様子を多数の小さな目で捉え、形や色を感じます。"
"バッタの口はどのような口をしていますか？","かむ口","さす口","吸う口","とがった口",0,"バッタは草などをかみ切るための“かむ口”を持っています。"
"セミの口はどのような口をしていますか？","かむ口","さす口","なめる口","吸う口",1,"セミは樹液を吸うため、針のように植物に差し込む“さす口”を持っています。"
"昆虫の足は胸の部分に何本ありますか？","4本","6本","8本","10本",1,"胸に3対(計6本)の足があります。"
"前羽と後羽を合わせると全部で何枚ですか？","2枚","4枚","6枚","8枚",1,"一般的に昆虫は前後合わせて4枚の羽を持ちます。"
"後ろ羽がない昆虫を3つ答えたときに含まれるのは？","ハエ・アブ・カ","チョウ・ガ・トンボ","アリ・セミ・バッタ","コオロギ・カマキリ・バッタ",0,"ハエ・アブ・カは後ろ羽が退化しており、1対しか羽がありません。"
"モンシロチョウの幼虫がよく食べる植物は？","イネやムギ","キャベツやダイコン","サクラやモミジ","タケやササ",1,"モンシロチョウの幼虫はアブラナ科のキャベツやダイコンの葉を食べます。"
"モンシロチョウの卵は何色から何色に変化しますか？","緑から赤","茶色から黒","乳白色から濃い黄色","透明から青",2,"卵は最初は乳白色ですが、孵化前には濃い黄色に変化します。"
"ふ化したばかりのモンシロチョウの幼虫は最初に何を食べますか？","土","自分の卵の殻","成虫の羽","水",1,"ふ化直後の幼虫は卵の殻を食べます。"
"ふ化したばかりのモンシロチョウの幼虫を何齢幼虫といいますか？","一齢幼虫","三齢幼虫","五齢幼虫","終齢幼虫",0,"ふ化直後の幼虫を一齢幼虫と呼びます。"
"モンシロチョウの幼虫は一般に何と呼ばれますか？","ケムシ","イモムシ","アオムシ","ワーム",2,"モンシロチョウの幼虫は青虫(アオムシ)と呼ばれます。"
"モンシロチョウの幼虫の口はどのような口ですか？","さす口","かむ口","なめる口","吸う口",1,"幼虫は植物をかみ切る“かむ口”を持っています。"
"モンシロチョウの成虫の口はどのような口をしていますか？","かむ口","さす口","ストローのように吸う口","なめ回す口",2,"成虫はストロー状の口で花の蜜を吸います。"
"モンシロチョウの幼虫の胸には、爪のある足が何本ありますか？","4本(2対)","6本(3対)","8本(4対)","10本(5対)",1,"胸の3節に1対ずつあり、計6本(3対)の足を持ちます。"
"モンシロチョウの幼虫の腹には、はさみのような足(腹脚)が何本ありますか？","2本(1対)","4本(2対)","6本(3対)","10本(5対)",3,"腹脚は5対(10本)あります。"
"モンシロチョウの成虫になると消えてしまう幼虫の足は？","爪のある足","胸の足","腹脚","すべて残る",2,"成虫になると腹脚(腹の足)は消失します。"
"一齢幼虫から五齢幼虫になるまで、何回脱皮を繰り返しますか？","2回","3回","4回","5回",2,"合計4回脱皮して成長します。"
"何回目の脱皮でさなぎになりますか？","4回目","5回目","6回目","7回目",1,"5回目の脱皮で幼虫からさなぎへ変態します。"
"さなぎの背中が割れて成虫になることを何といいますか？","ふ化","えだち","よう化","羽化",3,"さなぎから成虫になる現象を羽化と呼びます。"
"さなぎの時期がある変態を何といいますか？","不完全変態","完全変態","部分変態","特殊変態",1,"卵→幼虫→さなぎ→成虫と変化するのが完全変態です。"
"さなぎの時期がない変態を何といいますか？","不完全変態","完全変態","部分変態","特殊変態",0,"卵→幼虫(若虫)→成虫のようにさなぎを経ないのは不完全変態です。"
"アゲハの幼虫がよく食べる植物は何ですか？","トマト","イネ","ミカン類","カボチャ",2,"アゲハの幼虫はミカン科の葉を主に食べます。"
"アゲハの卵はどんな形と色をしていますか？","細長く黒い","四角く黄土色","1mmほどの球形で薄い黄色","まん丸で赤い",2,"アゲハの卵は小さな球形で、薄い黄色をしています。"
"アゲハの幼虫は何と呼ばれますか？","シャクトリムシ","イモムシ","ケムシ","青虫（アオムシ）ではなくキアゲハなどは独特の模様",3,"俗称で“青虫”と呼ばれる場合もありますが、アゲハ類は緑色や独特の模様を持ちます。"
"働きアリはオスですかメスですか？","オス","メス","オスとメスが半分ずつ","どちらでもない",1,"働きアリは繁殖能力をもたないメスです。"
"セミの幼虫はどこにいますか？","葉の上","地中","水中","他の動物の体内",1,"セミの幼虫は土の中(地中)で生活します。"
"シオカラトンボの幼虫は何と呼ばれますか？","ボウフラ","ヤゴ","ワラジムシ","ゲンゴロウ",1,"トンボの幼虫はヤゴと呼ばれ、水中で生活します。"
"シオカラトンボの成虫ではオスとメスで何が違いますか？","大きさ","色","羽の形","生息地",1,"シオカラトンボはオスが青白く、メスは黄色っぽい体色です。"
"昆虫の体を支える外側のかたい作りを何といいますか？","内骨格","外骨格","脊柱","硬骨格",1,"昆虫は外骨格(体表が硬い殻)で体を支えています。"
"外骨格をもつ動物が成長して体を大きくするために必要なことは？","変温","脱皮","休眠","共生",1,"外骨格は伸びにくいため、脱皮をして体を大きくします。"
"体と足に節がある動物を何といいますか？","哺乳類","軟体動物","節足動物","環形動物",2,"昆虫や甲殻類などは節足動物に分類されます。"
"クモの足は何本ありますか？","4本","6本","8本","10本",2,"クモは昆虫ではなく、足が8本ある節足動物です。"
