question,option1,option2,option3,option4,answerIndex,explanation
"初春の野に見られる、体に良いと伝えられる7種類の植物をまとめて何と呼びますか？","秋の七草","春の七草","夏の七草","冬の七草",1,"セリ・ナズナなど7種を春の七草といいます。"
"春の七草を全て答えなさい。","セリ・ナズナ・ゴギョウ・ハコベ・ホトケノザ・スズナ・スズシロ","キャベツ・レタス・ダイコン・ニンジン・ゴボウ・イモ・カボチャ","アサガオ・ヒルガオ・ユリ・ヒマワリ・バラ・チューリップ・スイセン","ワラビ・ゼンマイ・フキノトウ・ミツバ・スイバ・ネギ・ニラ",0,"代表的にはセリ、ナズナ（ぺんぺん草）、ゴギョウ（ハハコグサ）、ハコベラ、ホトケノザ、スズナ（かぶ）、スズシロ（大根）です。"
"芝生や道端など、人が多く通る場所に咲く強い植物を3つ答えなさい。","チューリップ・バラ・コスモス","シロツメクサ・オオイヌノフグリ・タンポポ","アサガオ・ホウセンカ・マリーゴールド","キャベツ・レタス・オクラ",1,"踏みつけられやすい場所でもよく繁茂するのが、シロツメクサ、オオイヌノフグリ、タンポポなどです。"
"外国から運ばれて日本で増えた植物を4つ答えなさい。","チューリップ・ヒマワリ・バラ・アヤメ","サクラ・ススキ・ヒガンバナ・コケ","シロツメクサ・オオイヌノフグリ・セイヨウタンポポ・ハルジオン","ワラビ・ゼンマイ・フキノトウ・カタクリ",2,"外来種の代表例として、シロツメクサ、オオイヌノフグリ、西洋タンポポ、ハルジオンがあります。"
"春になると植物が成長を盛んにする理由は？","気温が下がり夜が長くなるから","気温が上がり昼が長くなるから","雨が全く降らなくなるから","土が凍っているから",1,"春は暖かく日照時間も長くなるため、成長が促進されます。"
"チューリップ・スイセン・ヒヤシンスは何から芽を出しますか？","タネ","球根","苗木","葉っぱ",1,"これらは球根（鱗茎）から芽を出して花を咲かせます。"
"日本で最も多く見られるサクラの種類は何ですか？","八重桜","枝垂れ桜","ソメイヨシノ","山桜",2,"現在、日本各地で最も広く植えられているのはソメイヨシノです。"
"ソメイヨシノは冬の枝にどのような芽をもっていますか？（2つ答えよ）","葉芽と花芽","根芽と茎芽","球根とタネ","冬芽と夏芽",0,"冬のうちから、葉が出る芽と花が咲く芽の両方が準備されています。"
"花が咲く時期が同じ地点を結んだ線を何と言いますか？","経度線","緯度線","開花前線","寒冷前線",2,"桜前線など、花の開花の時期をつなぐ線を開花前線と呼びます。"
"同じ地方で開花が早いのは山地と平地のどちらですか？","山地","平地","場所によって同じ","どこも一斉に開花",1,"標高の低い平地のほうが気温が高く、花が先に咲くことが多いです。"
