question,option1,option2,option3,option4,answerIndex,explanation
初春の原に見られる植物を食べると体に良いと伝えられている7種類の植物をまとめて何と呼びますか？,違う答え1,春の七草,違う答え2,違う答え3,1,正解は「春の七草」です。
春の七草をすべて答えなさい,一部だけ,別の組合せ,セリ、ナズナ、ゴギョウ、ハコベラ、ホトケノザ、スズナ、スズシロ,間違い,2,正解は「セリ、ナズナ、ゴギョウ、ハコベラ、ホトケノザ、スズナ、スズシロ」です。
踏みつけられやすい場所に花を咲かせる植物を3つ答えなさい,一部だけ,別の組合せ,シロツメクサ、オオイヌノフグリ、タンポポ,間違い,2,正解は「シロツメクサ、オオイヌノフグリ、タンポポ」です。
外国から運ばれて日本で増えた植物を4つ答えなさい,一部だけ,間違い,シロツメクサ、オオイヌノフグリ、セイヨウタンポポ、ハルジオン,別の組合せ,2,正解は「シロツメクサ、オオイヌノフグリ、セイヨウタンポポ、ハルジオン」です。
春になると植物の成長が盛んになる理由を答えなさい,違う答え2,違う答え1,気温が上がり昼が長くなるから,違う答え3,2,正解は「気温が上がり昼が長くなるから」です。
チューリップやスイセンは何から芽を出しますか？,違う答え3,違う答え1,違う答え2,球根,3,正解は「球根」です。
日本で最も多く見られる桜の種類は何ですか？,違う答え3,ソメイヨシノ,違う答え2,違う答え1,1,正解は「ソメイヨシノ」です。
ソメイヨシノの冬の枝にある2種類の芽は？,間違い,花芽、葉芽,別の組合せ,一部だけ,1,正解は「花芽、葉芽」です。
花の咲く時期が同じ地点をつないだ線を何と言いますか？,違う答え1,違う答え2,違う答え3,開花前線,3,正解は「開花前線」です。
同じ地方で開花が早いのは山地と平地のどちらですか？,反対,違う,平地,同じ,2,正解は「平地」です。
桜以外に春に花を咲かせる樹木を5つ答えなさい,別の組合せ,一部だけ,間違い,ウメ、モモ、コブシ、レンギョウ、モクレン,3,正解は「ウメ、モモ、コブシ、レンギョウ、モクレン」です。
春に種をまく野菜を5つ答えなさい,間違い,トウモロコシ、トマト、ナス、キュウリ、ダイズ,一部だけ,別の組合せ,1,正解は「トウモロコシ、トマト、ナス、キュウリ、ダイズ」です。
サツマイモやジャガイモをそのまま植えることを何と言いますか？,種いも,違う答え2,違う答え3,違う答え1,0,正解は「種いも」です。
春に羽化した昆虫を2つ答えなさい,モンシロチョウ、アゲハチョウ,間違い,一部だけ,別の組合せ,0,正解は「モンシロチョウ、アゲハチョウ」です。
成虫のまま冬を越す昆虫を4つ答えなさい,別の組合せ,テントウムシ、ナナホシテントウ、ハチ、カメムシ,間違い,一部だけ,1,正解は「テントウムシ、ナナホシテントウ、ハチ、カメムシ」です。
春にふ化した昆虫を3つ答えなさい,別の組合せ,カマキリ、ショウリョウバッタ、コオロギ,一部だけ,間違い,1,正解は「カマキリ、ショウリョウバッタ、コオロギ」です。
幼虫で冬を越す昆虫を3つ答えなさい,別の組合せ,カブトムシ、ギンヤンマ、アゲハチョウ,一部だけ,間違い,1,正解は「カブトムシ、ギンヤンマ、アゲハチョウ」です。
モンシロチョウやアゲハチョウが春に産みつけた卵はいつ成虫になりますか？,春のうち,違う答え3,違う答え2,違う答え1,0,正解は「春のうち」です。
モンシロチョウの初見日はどのように広がっていきますか？,同じ,違う,反対,南から北へ,3,正解は「南から北へ」です。
メダカが産卵を始めるために必要な水温は何度以上ですか？,25度,10度,15度,20度,3,正解は「20度」です。
メダカが産卵を始めるために必要な昼の長さは何時間以上ですか？,10時間,20時間,13時間,5時間,2,正解は「13時間」です。
メダカの稚魚が成魚になるまでどれくらいかかりますか？,半年,4か月,2〜3か月,1か月,2,正解は「2〜3か月」です。
サケの稚魚はどこでふ化しますか？,違う答え1,違う答え3,川の上流,違う答え2,2,正解は「川の上流」です。
サケの成魚はふ化した後どうなりますか？,違う答え1,違う答え2,違う答え3,海へ下る,3,正解は「海へ下る」です。
キジバトは冬の間どのように過ごしますか？,眠っている,反対,同じ,違う,0,正解は「眠っている」です。
キジバトが産卵する時期はいつ頃ですか？,4か月,3月下旬ごろ,1か月,半年,1,正解は「3月下旬ごろ」です。
キジバトは産卵後どうなりますか？,5月ごろまで再び眠る,4か月,半年,1か月,0,正解は「5月ごろまで再び眠る」です。
夏を日本で過ごし冬を日本で過ごさない渡り鳥を何と言いますか？,違う答え3,違う答え1,夏鳥,違う答え2,2,正解は「夏鳥」です。
冬を日本で過ごし夏を日本で過ごさない渡り鳥を何と言いますか？,冬鳥,違う答え1,違う答え2,違う答え3,0,正解は「冬鳥」です。
春に南の国から日本に渡ってきて産卵する鳥を2つ答えなさい,ツバメ、カッコウ,間違い,一部だけ,別の組合せ,0,正解は「ツバメ、カッコウ」です。
冬に日本から南の国へ渡る鳥を3つ答えなさい,一部だけ,ハクチョウ、ガン、マガモ,間違い,別の組合せ,1,正解は「ハクチョウ、ガン、マガモ」です。
一年を通してほぼ同じ地域で過ごす鳥を何と言いますか？,違う答え2,違う答え1,違う答え3,留鳥,3,正解は「留鳥」です。
日本国内を移動する鳥を何と言いますか？,漂鳥,違う答え3,違う答え2,違う答え1,0,正解は「漂鳥」です。
シカやツキノワグマが出産を行う時期はいつ頃ですか？,冬眠中の1月〜2月ごろ,半年,4か月,1か月,0,正解は「冬眠中の1月〜2月ごろ」です。
