question,option1,option2,option3,option4,answerIndex,explanation
"太陽の直径は約何kmですか？","約1万3000km","約14万km","約140万km","約1400万km",2,"太陽の直径は約140万kmとされています。"
"太陽の直径は地球の直径の約何倍ですか？","約10倍","約50倍","約109倍","約1000倍",2,"地球の直径(約1万3000km)に対して太陽は約109倍になります。"
"太陽の表面温度は何℃くらいですか？","約600℃","約6000℃","約6万℃","約60万℃",1,"太陽表面はおよそ6000℃、内部はさらに高温です。"
"太陽の表面に見られる、まわりより温度の低い部分を何といいますか？","コロナ","黒点","白斑","彩層",1,"太陽表面で黒っぽく見える部分を黒点と呼びます。"
"自ら光を出している星を何といいますか？","惑星","恒星","衛星","彗星",1,"太陽のように自ら光を放つ天体を恒星と呼びます。"
"地球の直径は約何kmですか？","約1300km","約1万3000km","約13万km","約130万km",1,"地球の直径は約1万3000km(正確には約12742km)です。"
"地球はどの方向からどの方向へ自転していますか？","東から西","西から東","北から南","南から北",1,"地球は西から東へ向かって自転しています。"
"太陽は私たちから見ると、どの方向からどの方向へ動いて見えますか？","東から西","西から東","北から南","南から北",0,"地球の自転のため、太陽は東→西へ移動しているように見えます。"
"日の出とは、太陽の上の端が地平線(地面)から顔を出した瞬間を何と言いますか？","日の出","日の入り","南中","正午",0,"太陽の上端が見え始めた瞬間を“日の出”と呼びます。"
"日の入りとは、太陽が地平線の下に隠れて全部見えなくなった瞬間を何と言いますか？","日の出","日の入り","南中","正午",1,"太陽が完全に沈んで見えなくなる瞬間が“日の入り”です。"
"同じ日本国内で、日の出時刻が早いのは東の地方と西の地方のどちらでしょうか？","東の地方","西の地方","同じ","場所によって変わらない",0,"日本では東寄りの地域ほど日の出が早くなります。"
"一年のうち、昼の長さが最も長くなるのはいつですか？","春分","秋分","夏至","冬至",2,"北半球では夏至の頃が昼が最も長くなります。"
"一年のうち、昼の長さが最も短くなるのはいつですか？","春分","秋分","夏至","冬至",3,"冬至の頃が昼が最も短くなり、夜が最も長くなります。"
"太陽が一番早くのぼり、一番遅くしずむため昼の長さが最も長くなるのは何という日ですか？","春分","秋分","夏至","冬至",2,"夏至は日の出が最も早く、日の入りが最も遅いため、昼が最長です。"
"太陽が南の空にきたときの太陽の高度を特に何といいますか？","太陽高度","南中高度","地平高度","天頂高度",1,"南の方向で太陽が頂点に来るときの角度を南中高度と呼びます。"
"1年のうちで太陽の南中高度が最も高くなるのはいつごろですか？","春分","秋分","夏至","冬至",2,"夏至の頃が太陽の南中高度が最も高くなります。"
"1年のうちで地面に垂直に立てた棒の影が最も長くなるのは、夏と冬のどちらですか？","夏","冬","いつも同じ","春と秋",1,"冬は太陽が低く、棒の影が長くなります。"
"1日のうちで地面に垂直に立てた棒の影が長くなるのは、朝や夕方と昼のどちらですか？","朝や夕方","昼","常に同じ","夜中",0,"太陽が低い朝や夕方は影が長く、南中付近の昼ごろは影が短いです。"
"太陽が南中しているとき、地面に垂直に立てた棒の影はどの方角にできますか？","東","西","南","北",3,"日本では太陽が南側にあるため、影は北側に伸びます。"
"大阪で太陽が南中している時刻に、東京に垂直に立てた棒の影はどの方角にできるでしょうか？","東","西","北","南",0,"東京は大阪より東にあるので、同時刻では太陽が大阪よりやや西寄りに見え、影は東向きになります。"
"地面に垂直に立てた棒の影の動きを1日観察したとき、影はどちらの方角からどちらの方角へ動きますか？","北から南へ動く","東から西へ動く","西から東へ動く","南から北へ動く",2,"太陽は東→南→西へ見えるため、影はその逆方向（西→北→東）へ回るように動きます。"

