question,option1,option2,option3,option4,answerIndex,explanation
"水が自然に空気中に出ていくことを何と言いますか？","蒸発","凝結","沸騰","昇華",0,"水が自然に気体となって空気中に出る現象を蒸発といいます。"
"ふたをしていないコップの水が減ったのはなぜですか？","こぼれたから","吸収されたから","空気中に出ていったから","凍ったから",2,"水が蒸発して空気中に出ていったため、水が少なくなります。"
"ラップの内側に水が付いていたのはなぜですか？","蒸発した水が冷やされて水滴になったから","ラップが水を吸いこんだ","最初から水滴がついていた","空気が抜けてしまった",0,"蒸発した水蒸気がラップ付近で冷えて、水滴となって付着したためです。"
"水が蒸発しやすいのは温度が低い時、高い時のどちらですか？","温度が低いとき","温度が高いとき","湿度が高いとき","風が吹いているとき",1,"温度が高いほど水分子の運動が活発になり、蒸発しやすくなります。"
"水が激しく沸き立つとき、何がたくさん出てきますか？","泡","煙","白い粉","小石",0,"激しく沸騰すると、水蒸気を含んだ泡が盛んに湧き上がります。"
"水を熱すると気体になります。この気体を何と言いますか？","酸素","二酸化炭素","水蒸気","窒素",2,"水は加熱されると水蒸気となって気体化します。"
"水蒸気が冷やされると何になりますか？","氷","水","空気","そのまま気体",1,"水蒸気は冷やされると凝結して水になります。"
"湯が消えるのはなぜですか？","冷えて固まったから","容器が割れたから","水蒸気に変わったから","飲まれたから",2,"お湯は蒸発して水蒸気になり、目に見えなくなります。"
"水を熱して出てくる泡を試験管に集めて冷やすと、何がたまりますか？","水","空気","氷","油",0,"泡の中の水蒸気が冷やされると、再び液体の水として回収されます。"
"水の温度が100℃で変わらないのはなぜですか？","温度計が壊れているから","熱が全部外に逃げるから","水を水蒸気に変えるために熱が使われるから","氷点だから",2,"水を水蒸気に変える際の潜熱にエネルギーが使われ、温度は一定に保たれます。"
"水が沸き始めることを何と言いますか？","蒸発","沸騰","凝結","昇華",1,"水が100℃（標準気圧）に達し、泡が盛んに発生する現象を沸騰といいます。"
"水が沸騰し始める温度を何と言いますか？","融点","沸点","臨界点","零点",1,"水が沸き始める温度を沸点といい、ふつう約100℃（標準気圧）です。"
"湯気が白く見えるのは何が集まったからですか？","空気の分子","水素の粒","小さな水の粒","色素が混ざったから",2,"気体の水蒸気が冷やされ、水滴になって浮かぶことで白く見えます。"
"細かく砕いた氷に食塩を混ぜるとどうなりますか？","温度が上がる","温度が大きく下がる","氷が完全に蒸発する","氷が爆発する",1,"食塩を加えると融点が下がり、氷が溶ける際に周囲から熱を奪って温度が下がります。"
"氷の温度を下げるために使うものを何と言いますか？","寒剤","加熱剤","水冷材","保温材",0,"氷と食塩などを混ぜたものは寒剤と呼ばれ、周囲を冷やす際に使われます。"
"水が凍り始める温度は何度ですか？","100℃","4℃","0℃","-5℃",2,"標準的な条件下で、水は0℃で凍り始めます。"
"水が全て氷になるまで温度はどうなりますか？","上がる","下がる","0℃のまま","急に100℃になる",2,"水が氷に変化している間は熱が相変化に使われるため、温度は一定です。"
"水が全て氷になった後、温度はどうなりますか？","上がる","変わらない","下がる","常に0℃",2,"完全に凍ってからさらに冷やされると、温度は0℃より下がっていきます。"
"氷は何度で溶け始めますか？","100℃","50℃","10℃","0℃",3,"氷は0℃で溶け始め、溶解熱によってその温度を維持します。"
"氷が全て解け終わるまでは温度はどうなりますか？","上がる","下がり続ける","0℃のまま","100℃まで上がる",2,"氷が溶けている間は熱が氷を溶かすために使われ、温度は一定になります。"
"氷が全て溶け終わった後の温度はどうなりますか？","下がる","上がる","0℃で止まる","一気に100℃になる",1,"氷がすべて溶けた後も加熱を続ければ、温度は上昇していきます。"
"氷が溶け始める時の温度を何と言いますか？","凝固点","沸点","融点","常温",2,"固体が液体に変わり始める温度を融点と呼びます。"
"100℃の水が水蒸気になると体積は何倍になりますか？","約2倍","約10倍","約1600倍","1/2倍",2,"液体の水が気体になるとおよそ1600倍もの体積に増加します。"
"0℃の水が0℃の氷になると体積は何倍になりますか？","約1.1倍","約2倍","約10倍","約1600倍",0,"水が氷になると少し膨張し、約1.1倍となります。"
"氷のように形が決まっている姿を何と言いますか？","液体","固体","気体","プラズマ",1,"氷のように自分の形を保つ状態が固体です。"
"水のように一定の体積はあるが形が決まっていない姿を何と言いますか？","固体","気体","液体","粉末",2,"容器に合わせて形を変えるが体積は一定なのが液体です。"
"水蒸気のように形も体積も決まっていない姿を何と言いますか？","固体","液体","気体","沸騰状態",2,"形も体積も自由に変わる状態が気体です。"
"海や川や地面から出て空気中に含まれる水の気体を何と言いますか？","炭酸ガス","酸素","水蒸気","ヘリウム",2,"水が蒸発して大気中に含まれる気体の状態を水蒸気と呼びます。"
"水蒸気が冷やされて小さな水や氷の粒になると何になりますか？","霧","雲","雨","露",1,"水蒸気が上空で冷やされ、多数の微小な水滴や氷の粒として浮いているのが雲です。"
"雲の粒が大きくなるとどうなりますか？","霧になる","消えてしまう","雨や雪になる","変化しない",2,"雲粒が重くなると降水（雨や雪）として落ちてきます。"
"陸地に戻った水はやがてどこに注ぎ込まれますか？","山頂","地中","湖","海",3,"雨や雪として地上に戻った水は、最終的に川から海へ流れていきます。"
