question,option1,option2,option3,option4,answerIndex,explanation
"自ら光を出しているものを何と言いますか？","光源","反射体","鏡像","入射体",0,"太陽や電灯のように自分で光を出すものを光源と呼びます。"
"光を出しているものの組み合わせとして正しいのはどれ？","月・黒板・本","太陽・電灯・テレビ","机・イス・本","地球・ボール・雲",1,"太陽・電灯・テレビは自ら光を出す（または画面が発光する）光源です。"
"月や本・机など光を出さないものが見えるのはなぜですか？","空気を振動させるから","光を吸収するから","光を跳ね返して目に入るから","熱を出しているから",2,"外部の光を反射し、その反射光が目に届くため形が見えます。"
"太陽と月の大きな違いはどれ？","月は恒星で太陽は惑星","太陽は光を出すが月は出さない","月の方が表面温度が高い","月はガスでできている",1,"太陽は恒星として自ら光を放ちますが、月は太陽光の反射で光って見えます。"
"光が同じ物質の中をまっすぐ進む性質を何と言いますか？","光の屈折","光の散乱","光の直進","光の回折",2,"均一な媒質内では光は基本的に直線状に進む ― 光の直進。"
"ピンホールカメラのスクリーンには像がどのように映りますか？","そのまま同じ向き","上下だけ逆","左右だけ逆","上下左右が逆",3,"小さな孔を通って交差した光がスクリーンに上下左右反転の像を結びます。"
"ピンホールカメラで像が上下左右逆になる理由は？","光が交差するから","光が屈折するから","鏡像になるから","空気が揺れるから",0,"孔を通った光線が交差し、上下左右が反転した像ができるためです。"
"ピンホールカメラの仕組みはどの性質を利用していますか？","光の屈折","光の散乱","光の直進","光の干渉",2,"小孔を通るときの直進性を利用して像を結びます。"
"鏡で光が跳ね返る性質を何と言いますか？","光の吸収","光の反射","光の直進","光の散乱",1,"鏡面で光がはね返る現象を光の反射といいます。"
"鏡に入る前の光線を何と呼びますか？","反射光線","入射光線","散乱光線","回折光線",1,"鏡に当たる前の光線は入射光線（入射光）です。"
"鏡に跳ね返った後の光線を何と呼びますか？","入射光線","屈折光線","反射光線","透過光線",2,"鏡で反射して出る光を反射光線といいます。"
"鏡面に垂直に引いた想像上の線を何と言いますか？","法線","分度線","水平線","接線",0,"反射の法則で基準となる垂直線を法線と呼びます。"
"入射光線と法線の間の角を何と言いますか？","反射角","入射角","屈折角","直角",1,"入射角＝入射光線と法線が作る角度です。"
"反射光線と法線の間の角を何と言いますか？","入射角","回折角","反射角","光度角",2,"反射角＝反射光線と法線が作る角度です。"
"入射角と反射角の関係はどうなりますか？","入射角＞反射角","入射角＜反射角","等しい","場合による",2,"鏡面反射では入射角と反射角が等しくなります（反射の法則）。"
"鏡に右手を上げた自分を映すと、鏡の中ではどちらの手を上げていますか？","右手","左手","両手","手は上がって見えない",1,"左右が入れ替わるため、右手を上げると像では左手が上がって見えます。"
"鏡に映った文字はどのように見えますか？","上下逆","左右逆","拡大して見える","色が変わる",1,"鏡像では左右が反転するため、文字も左右逆になります。"
"鏡の前に立って自分の姿を見ると、像はどこに見えますか？","鏡面の手前に浮かぶ","鏡面の奥で自分と同じ距離だけ奥","鏡面のずっと奥に無限遠","鏡の表面そのもの",1,"像は鏡の奥に、実際の自分と鏡面との距離と等しい距離にあるように見えます。"
"鏡から3 m離れた位置に立つと、像は鏡から何 mのところに見えますか？","1 m","3 m","6 m","見えない",1,"像までの距離も3 mで、鏡面をはさんで対称の位置にできます。"
"自分から鏡までの距離と像から鏡までの距離はどのような関係ですか？","常に自分の方が短い","常に像の方が短い","等しい","気温で変わる",2,"平面鏡では物体―鏡面距離と像―鏡面距離が等しくなります。"
