question,option1,option2,option3,option4,answerIndex,explanation
金属の持ちようとしてあてはまらないものはどれですか？,電気や熱を伝えやすい,すべての金属は銀白色や灰色をしている,表面にツヤがあり、光をよく反射する,細く引きのばしたり、たたいてうすく広げられる,1,すべての金属が銀白色というわけではなく、銅など例外もある。
20℃で固体ではない金属は何ですか？,水銀,鉄,銅,アルミニウム,0,水銀だけが常温で液体の金属です。
2種類以上の金属を混ぜ合わせた金属を何といいますか？,混合金属,合金,複合金属,融合金属,1,合金は複数の金属を混ぜたものです（例：青銅、ステンレス）。
合金であるものをすべて選びなさい。,鉄,ステンレス,銅,真ちゅう,3,ステンレスと真ちゅうは合金です。鉄や銅は純金属です。
金属の中で最も熱や電気を伝えやすいものは何ですか？,鉄,アルミニウム,銅,銀,3,銀が最も電気や熱をよく伝える金属です。
軽くてさびにくいため、飲み物の缶や1円玉に使われている金属は何ですか？,銅,鉄,銀,アルミニウム,3,アルミニウムは軽くてさびにくく、1円玉などに使われています。
金属を熱したときのように、温度の高い方から低い方へと、物の中を熱が伝わっていく熱の伝わり方を何といいますか？,伝導,放射,対流,蒸発,0,金属などの固体での熱の伝わり方を伝導といいます。
鉄・銅・アルミニウムのうち、最も熱が伝わりやすいのはどれですか？,鉄,銅,アルミニウム,どれも同じ,1,銅が最も熱伝導性が高い金属の一つです。
金属を熱すると、体積と重さはそれぞれどうなりますか？,体積は大きく、重さも大きくなる,体積は大きく、重さは変わらない,体積は小さく、重さも小さくなる,体積は小さく、重さは変わらない,1,熱すると体積は大きくなりますが、重さは変わりません。
鉄・銅・アルミニウムのうち、最も熱による体積変化が大きいのはどれですか？,鉄,銅,アルミニウム,どれも同じ,2,アルミニウムは熱による膨張率が高い金属です。
