question,option1,option2,option3,option4,answer,explanation
同じ土地で同じ作物を続けてつくると、収穫量が減ったり、作物が病気にかかりやすくなったりします。このことを何といいますか。,輪作,連作障害,連作,疫病,1,同じ作物を続けて栽培すると土壌の養分バランスが崩れ、病気が起こりやすくなる現象を「連作障害」という。
問1のようにならないようにするために、一つの畑でつくる作物を年ごとにかえる栽培の方法を何といいますか。,連作,輪作障害,輪作,混作,2,作物を年ごとに入れ替えて栽培する方法を「輪作」という。
砂糖の原料となる作物で、十勝平野で栽培されているものは何ですか。,サトウキビ,とうもろこし,じゃがいも,甜菜,3,十勝平野では砂糖の原料として甜菜（ビート）が栽培されている。
十勝平野は、火山灰土からなっています。このように栄養分が少ない土地は、肥えているといいますか、やせているといいますか。,やせている,肥えている,乾いている,水はけがよい,0,土の養分が少ない土地は「やせている」と表現する。
畑や家などを強い風から守るために植えられた木々を、何といいますか。,防砂林,防風林,防潮林,防火林,1,強い風を防ぐために植えられた林を「防風林」という。
牛乳や乳製品をつくるために乳牛を飼う農業を、何といいますか。,畜産,農耕,酪農,園芸,2,牛乳や乳製品を生産する農業を「酪農」という。
北海道でとれた牛乳、栃木県でとれた牛乳のうち、チーズやバター、ヨーグルトなどの乳製品に加工されることが多いのはどちらの牛乳ですか。,栃木県,青森県,長野県,北海道,3,北海道は国内有数の酪農地帯で、乳製品への加工が盛んである。
十勝平野の中心都市の名前を答えなさい。,帯広市,札幌市,函館市,旭川市,0,十勝平野の中心都市は帯広市である。
月平均気温が0℃より低い月は、何月から何月までですか。,12月から2月まで,1月から3月まで,2月から4月まで,11月から1月まで,1,気候グラフから、平均気温が0℃未満なのは1月から3月までである。
夏、南からのしめったあたたかい風が、冷たい海流の上で冷やされると、濃霧が発生します。この冷たい海流の名前を答えなさい。,黒潮,千島海流,親潮,寒流,2,北海道沖を南下する冷たい海流を「親潮（千島海流）」という。
