question,image,option1,option2,option3,option4,answer,explanation
図のAの山脈の名前はどれですか？,so12.png,越後山脈,飛騨山脈,木曽山脈,赤石山脈,0,地図Aの位置は新潟県にあり、越後山脈が位置する地域です。
日本で最も長い川の名前はどれですか？,,信濃川,利根川,天竜川,四万十川,0,信濃川は日本一長い川です。
日本で最も長い川の長さとして正しいものを選びなさい。,so12.png,167km,267km,367km,467km,3,日本最長の川である信濃川の長さは約367kmです。
図中の海の名前として正しいものを選びなさい。,so12.png,日本海,東シナ海,オホーツク海,太平洋,0,図中の新潟県の西にある海は日本海です。
冬の日本に吹く季節風は、どの方角から来るものですか？,,北西,南東,南西,北東,0,冬の季節風は大陸から吹き込む冷たい北西の風です。
春の日本に吹く季節風は、どの方角から来るものですか？,,南東,北西,北東,南西,0,春から夏にかけては南東の季節風が吹きます。
日本海を流れる暖流の名前を選びなさい。,,リマン海流,黒潮,対馬海流,千島海流,2,対馬海流は日本海に入る暖流で、雪のもとになる水蒸気を供給します。
太平洋を流れる暖流はどれですか？,,黒潮,親潮,対馬海流,リマン海流,0,黒潮（日本海流）は太平洋を流れる暖流です。
太平洋を流れる寒流はどれですか？,,親潮,黒潮,対馬海流,赤道海流,0,親潮は太平洋を北から流れる寒流です。
日本海を流れる寒流はどれですか？,,リマン海流,対馬海流,黒潮,千島海流,0,リマン海流は日本海の北側を南下する寒流です。
雪を屋根から取り除くことを何といいますか？,,雪かき,雪ほり,雪おろし,除雪,2,屋根から雪を取り除く作業は「雪おろし」と呼ばれます。
消雪パイプの目的として正しいものを選びなさい。,,地下水で地面を冷やす,地下水で道路の雪をとかす,地下水を生活用水にする,地下水を農業用水にする,1,消雪パイプは地下水を使って道路の雪をとかす装置です。
屋根の上に積もった雪の重さを減らすために行う方法はどれですか？,,雪しろ,雪どけ,雪おろし,雪捨て,2,屋根の雪を減らす方法は「雪おろし」です。
雪国の信号機はなぜ縦になっているのですか？,,雪が積もりにくくするため,見た目がよいから,風に強くするため,日光が当たりやすくするため,0,雪国の信号機は雪が積もらないよう縦に設置されています。
雪が積もりにくい家の特徴はどれですか？,,屋根のかたむきが急な家,屋根が平らな家,屋根のかたむきがゆるやかな家,屋根が高くそびえる家,0,屋根の傾きが急な家は、雪が自然と落ちやすく積もりにくいです。
アーケードが設けられている目的は何ですか？,,雪を避けて歩けるようにするため,日差しを避けるため,防犯のため,広告を出すため,0,アーケードは雪や雨を避け、歩行者の安全を守るために設置されています。
信濃川が流れる都道府県はどれですか？,,新潟県,青森県,広島県,兵庫県,0,信濃川は新潟県を流れる日本最長の川です。
降雪地帯の道路に見られる、地下水を噴き出す設備はどれですか？,,融雪器,消雪パイプ,除雪機,排水装置,1,消雪パイプは地下水を出して道路の雪を溶かす設備です。
雪が降る原因となる、湿った風の正体は何ですか？,,乾燥風,対馬海流上の風,太平洋の風,南極の風,1,対馬海流から水蒸気を含んだ風が吹くことで雪が降ります。
日本海で雪が降るのは、暖かい海流が何をふくむからですか？,,水蒸気,氷,塩分,空気,0,暖流である対馬海流が水蒸気を多く含むことで、日本海側に雪をもたらします。
屋根の雪が落ちてこないようにする設備はどれですか？,,アーケード,雪止め,雪かき棒,雪割り柱,1,雪止めは屋根に設置して雪が落ちないようにする設備です。
雪を利用して冷房に使う取り組みは何のエネルギーとして分類されますか？,,冷エネルギー,自然エネルギー,再生可能エネルギー,太陽光エネルギー,2,雪を利用する冷房システムは再生可能エネルギーに分類されます。
雪室とは何ですか？,,雪を使って食べ物などを保存する倉庫,雪をとかす部屋,雪遊びをする部屋,雪をためるための井戸,0,雪室とは、雪を活用して野菜や食品などを冷やして保存する伝統的な倉庫です。
この図で示されている矢印は、どのような風を表していますか？,so12.png,季節風（北西の風）,貿易風（北東の風）,偏西風（西風）,海風（昼間の風）,0,図の矢印は冬の季節風である北西の風を表しており、日本海側に雪をもたらします。
