question,option1,option2,option3,option4,answerIndex,explanation
高知市では夏に太平洋で蒸発した水蒸気が、南東からの（　　　）でのぼってきます。,季節風,貿易風,偏西風,海風,0,高知市では南東からの季節風が湿った空気を運び、夏の降水量が多くなります。
高知市では、梅雨や夏の午後に（　　　）が多く見られます。,集中豪雨,にわか雨,台風,雷雨,3,夏の高知では、気温の上昇により雷雲が発生し、雷雨が多くなります。
高知平野では、日照時間が長く、あたたかい気候であることを利用して、（　　　）も野菜づくりをさかんに行っています。,ビニールハウス,露地栽培,水田栽培,温室栽培,0,高知平野ではビニールハウスを利用して、冬でも野菜づくりを行っています。
高知平野では、収穫時期を早めて出荷する（　　　）という栽培方法を行っています。,抑制栽培,促成栽培,輪作栽培,分散栽培,1,高知平野では野菜を早く出荷できるように促成栽培が行われています。
高知平野でとれた野菜は、主に（　　　）を使って関東地方の市場に運ばれます。,飛行機,フェリー,トラック,鉄道,2,トラックで直送することで、鮮度を保ったまま市場に出荷できます。
1988年に開通した（　　　）により、四国と本州が結ばれました。,本州四国連絡橋,関門橋,明石海峡大橋,瀬戸内橋,0,本州四国連絡橋により、高知から本州への物流がスムーズになりました。
高知平野で作られる野菜のひとつに、全国有数の生産量を誇る（　　　）があります。,キャベツ,トマト,ピーマン,だいこん,2,高知平野では特にピーマンの生産が盛んです。
高知市と宮崎市の降水量が多い理由として最も適切なものはどれですか？,太平洋に面しているから,冬でも気温が高いから,暖かく湿った空気が流れ込むから,山がないから,2,夏に太平洋からの湿った空気が入りやすく、雨が多くなります。
高知市は夏の降水量が多いですが、冬の降水量が少ない理由は何ですか？,山が風をさえぎるから,気温が低いから,海からの風が吹かないから,日照時間が長いから,0,四国山地が季節風をさえぎるため、高知市では冬の降水量が少なくなります。
高知平野で冬に野菜づくりがさかんな理由として最も適切なものはどれですか？,冷たい風が吹かない,温暖で日照時間が長い,雪が多く降る,地形が平ら,1,温暖で日照時間が長いため、冬でもビニールハウスを使って野菜づくりができます。
高知平野で出荷時期をずらして出荷する方法を何といいますか？,抑制栽培,促成栽培,輪作,季節栽培,1,促成栽培とは、通常よりも早い時期に野菜を出荷する栽培方法です。
高知平野で収穫された野菜を関東地方に運ぶのに使われる交通手段として適切なものはどれですか？,新幹線,トラック,フェリー,鉄道,1,トラックによって新鮮な野菜を直接関東地方まで運ぶことができます。
高知と宮崎の共通点として正しいものはどれですか？,冬に雨が多い,山が多い,夏に降水量が多い,台風が少ない,2,高知市と宮崎市はどちらも夏に降水量が多いという特徴があります。
高知平野の農業の問題点として適切でないものはどれですか？,輸送費がかかる,病気に弱い人が多い,競争が激しい,遠くの市場に出す,1,農業の問題点として“病気に弱い人が多い”は関係ありません。
高知平野ではどのような施設で農業が行われていますか？,ビニールハウス,露地栽培,工場,倉庫,0,温暖な気候を利用してビニールハウスで野菜を栽培しています。
瀬戸内海の気候の特徴として正しいものはどれですか？,雨が多い,温暖で雨が少ない,寒くて雪が多い,台風が多い,1,瀬戸内海沿岸は温暖で雨が少なく、晴れの日が多いのが特徴です。
